CURVE_ID	time	bm	SE
gr0004	0	16	3
gr0004	10	27	7.7
gr0004	20	38	4.1
gr0004	30	42	5.1
gr0004	40	49	7.2
gr0004	50	55	6.5
gr0004	60	63	7.4
gr0004	70	67	8.4
gr0004	80	78	7.3
gr0004	90	88	10.9
gr0004	100	98	13.9
gr0004	110	111	20.9
gr0004	120	121	28.1
gr0004	130	154	39.1
gr0004	140	194	42.9
gr0004	150	225	51.8
gr0005	0	13	1
gr0005	10	18	1.3
gr0005	20	25	1.5
gr0005	30	40	2.5
gr0005	40	49	4.5
gr0005	50	54	4.2
gr0005	60	55	5.7
gr0005	70	58	5.7
gr0005	80	59	5.6
gr0005	90	68	6.1
gr0005	100	88	8.9
gr0005	110	108	13.8
gr0005	120	126	19.1
gr0005	130	132	20.1
gr0005	140	155	28.1
gr0005	150	189	36.23
gr0006	0	8	0.8
gr0006	10	17	1.9
gr0006	20	24	2.1
gr0006	30	33	2.6
gr0006	40	45	4.3
gr0006	50	48	5.9
gr0006	60	54	7.1
gr0006	70	60	10.3
gr0006	80	70	13.8
gr0006	90	83	17.7
gr0006	100	103	20.6
gr0006	110	120	22.4
gr0006	120	133	16.5
gr0006	130	154	23.8
gr0006	140	159	25.5
gr0006	150	175	26.6
gr0007	0	33	5.1118
gr0007	14	66	15.3355
gr0007	28	97	20.4473
gr0007	42	207	17.892
gr0007	56	245	10.223
gr0007	70	412	28.115
gr0007	84	417	17.891
gr0007	98	616	33.226
gr0008	0	36	7.6678
gr0008	14	72	15.3355
gr0008	28	107	12.78
gr0008	42	202	20.447
gr0008	56	273	17.892
gr0008	70	458	33.227
gr0008	84	491	35.783
gr0008	98	665	35.782
gr0009	0	33	5.1119
gr0009	14	79	5.1118
gr0009	28	110	7.668
gr0009	42	227	7.668
gr0009	56	291	15.335
gr0009	70	424	43.451
gr0009	84	452	43.451
gr0009	98	662	35.783
gr0010	0	36	10.2236
gr0010	14	59	7.6677
gr0010	28	74	7.6677
gr0010	42	102	5.1114
gr0010	56	118	5.112
gr0010	70	143	15.335
gr0010	84	143	15.335
gr0010	98	166	10.223
gr0011	0	225	16.453
gr0011	5	234	21.154
gr0011	11	305	21.155
gr0011	17	352	21.154
gr0011	25	370	37.607
gr0011	39	471	84.611
gr0011	42	464	61.106
gr0011	49	523	56.411
gr0011	55	539	42.303
gr0011	59	565	58.761
gr0011	66	644	77.565
gr0011	72	625	56.411
gr0011	82	588	39.958
gr0011	97	660	39.958
gr0011	103	658	44.659
gr0012	0	226	na
gr0012	5	226	na
gr0012	12	286	na
gr0012	17	334	na
gr0012	25	358	na
gr0012	39	361	na
gr0012	42	367	na
gr0012	49	390	na
gr0012	55	425	na
gr0012	59	447	na
gr0012	66	499	na
gr0012	72	501	na
gr0012	82	506	na
gr0012	96	477	na
gr0012	103	455	na
gr0013	0	226	na
gr0013	5	228	na
gr0013	11	317	na
gr0013	17	370	na
gr0013	25	441	na
gr0013	39	466	na
gr0013	42	509	na
gr0013	48	548	na
gr0013	55	503	na
gr0013	59	528	na
gr0013	65	559	na
gr0013	72	579	na
gr0013	82	553	na
gr0013	97	535	na
gr0013	102	498	na
gr0014	0	216	na
gr0014	5	214	na
gr0014	12	243	na
gr0014	17	268	na
gr0014	25	280	na
gr0014	39	270	na
gr0014	42	262	na
gr0014	49	301	na
gr0014	55	334	na
gr0014	59	338	na
gr0014	66	378	na
gr0014	72	384	na
gr0014	82	364	na
gr0014	97	380	na
gr0014	102	399	na
gr0015	0	224	na
gr0015	5	242	na
gr0015	11	316	na
gr0015	17	374	na
gr0015	24	386	na
gr0015	39	366	na
gr0015	42	360	na
gr0015	49	409	na
gr0015	54	422	na
gr0015	59	432	na
gr0015	66	424	na
gr0015	72	447	na
gr0015	83	418	na
gr0015	96	400	na
gr0015	103	388	na
gr0016	0	224	na
gr0016	5	224	na
gr0016	10	277	na
gr0016	17	335	na
gr0016	25	362	na
gr0016	39	347	na
gr0016	42	343	na
gr0016	49	372	na
gr0016	55	399	na
gr0016	59	397	na
gr0016	66	422	na
gr0016	73	424	na
gr0016	82	418	na
gr0016	97	396	na
gr0016	103	388	na
gr0017	0	224	na
gr0017	5	208	na
gr0017	11	251	na
gr0017	17	322	na
gr0017	24	308	na
gr0017	38	307	na
gr0017	42	317	na
gr0017	49	333	na
gr0017	55	377	na
gr0017	59	377	na
gr0017	66	399	na
gr0017	72	395	na
gr0017	82	414	na
gr0017	97	388	na
gr0017	103	373	na
gr0018	0	224	na
gr0018	5	224	na
gr0018	11	297	na
gr0018	17	357	na
gr0018	25	353	na
gr0018	38	309	na
gr0018	42	291	na
gr0018	49	297	na
gr0018	55	359	na
gr0018	59	363	na
gr0018	66	407	na
gr0018	72	434	na
gr0018	82	466	na
gr0018	97	458	na
gr0018	103	455	na
gr0019	0	222	na
gr0019	5	226	na
gr0019	10	301	na
gr0019	17	375	na
gr0019	26	396	na
gr0019	39	434	na
gr0019	42	412	na
gr0019	49	453	na
gr0019	55	518	na
gr0019	59	493	na
gr0019	66	506	na
gr0019	72	523	na
gr0019	82	490	na
gr0019	97	483	na
gr0019	102	432	na
gr0020	0	222	na
gr0020	5	226	na
gr0020	11	258	na
gr0020	17	299	na
gr0020	25	275	na
gr0020	39	257	na
gr0020	42	256	na
gr0020	49	277	na
gr0020	55	291	na
gr0020	59	292	na
gr0020	66	329	na
gr0020	72	270	na
gr0020	83	231	na
gr0020	98	207	na
gr0020	103	197	na
gr0021	0	228	na
gr0021	5	239	na
gr0021	11	296	na
gr0021	17	337	na
gr0021	25	376	na
gr0021	39	373	na
gr0021	42	366	na
gr0021	49	407	na
gr0021	54	454	na
gr0021	59	493	na
gr0021	66	476	na
gr0021	72	519	na
gr0021	81	504	na
gr0021	97	421	na
gr0021	103	435	na
gr0022	0	228	na
gr0022	5	253	na
gr0022	11	265	na
gr0022	17	329	na
gr0022	25	351	na
gr0022	40	373	na
gr0022	42	391	na
gr0022	49	424	na
gr0022	54	455	na
gr0022	59	479	na
gr0022	66	462	na
gr0022	72	453	na
gr0022	82	414	na
gr0022	97	470	na
gr0022	103	443	na
gr0023	0	228	na
gr0023	5	193	na
gr0023	11	240	na
gr0023	17	298	na
gr0023	25	322	na
gr0023	40	307	na
gr0023	42	306	na
gr0023	49	337	na
gr0023	55	384	na
gr0023	59	409	na
gr0023	66	489	na
gr0023	72	482	na
gr0023	82	471	na
gr0023	97	518	na
gr0024	0	224	na
gr0024	5	234	na
gr0024	11	288	na
gr0024	17	312	na
gr0024	26	283	na
gr0024	39	257	na
gr0024	42	257	na
gr0024	49	240	na
gr0024	54	306	na
gr0024	59	347	na
gr0024	66	386	na
gr0024	72	364	na
gr0024	83	378	na
gr0024	97	408	na
gr0024	103	385	na
gr0025	0	224	na
gr0025	5	230	na
gr0025	11	249	na
gr0025	17	304	na
gr0025	26	293	na
gr0025	39	257	na
gr0025	42	261	na
gr0025	49	290	na
gr0025	55	304	na
gr0025	59	349	na
gr0025	66	363	na
gr0025	72	404	na
gr0025	82	420	na
gr0025	97	396	na
gr0025	102	412	na
gr0026	0	224	na
gr0026	5	214	na
gr0026	11	271	na
gr0026	17	281	na
gr0026	25	283	na
gr0026	39	286	na
gr0026	42	267	na
gr0026	49	269	na
gr0026	55	279	na
gr0026	59	310	na
gr0026	66	297	na
gr0026	72	329	na
gr0026	83	343	na
gr0026	98	320	na
gr0026	103	319	na
gr0027	0	222	na
gr0027	5	218	na
gr0027	11	267	na
gr0027	17	317	na
gr0027	25	323	na
gr0027	39	336	na
gr0027	42	361	na
gr0027	49	392	na
gr0027	55	384	na
gr0027	59	345	na
gr0027	66	394	na
gr0027	72	421	na
gr0027	82	395	na
gr0027	97	402	na
gr0027	103	378	na
gr0028	0	250	na
gr0028	5	324	na
gr0028	11	282	na
gr0028	17	384	na
gr0028	25	403	na
gr0028	39	367	na
gr0028	42	369	na
gr0028	49	425	na
gr0028	55	415	na
gr0028	59	445	na
gr0028	66	442	na
gr0028	72	421	na
gr0028	82	430	na
gr0028	97	384	na
gr0028	103	380	na
gr0029	0	228	na
gr0029	5	226	na
gr0029	11	288	na
gr0029	17	380	na
gr0029	25	317	na
gr0029	39	356	na
gr0029	42	363	na
gr0029	49	390	na
gr0029	55	384	na
gr0029	59	345	na
gr0029	66	347	na
gr0029	72	286	na
gr0029	82	283	na
gr0029	97	299	na
gr0029	103	189	na
gr0030	0	229	na
gr0030	5	237	na
gr0030	10	302	na
gr0030	17	371	na
gr0030	25	358	na
gr0030	39	334	na
gr0030	42	312	na
gr0030	50	335	na
gr0030	55	351	na
gr0030	59	366	na
gr0030	66	377	na
gr0030	72	365	na
gr0030	82	423	na
gr0030	97	424	na
gr0030	103	463	na
gr0031	0	221	na
gr0031	5	254	na
gr0031	11	339	na
gr0031	17	398	na
gr0031	24	454	na
gr0031	39	442	na
gr0031	42	450	na
gr0031	49	521	na
gr0031	55	571	na
gr0031	59	576	na
gr0031	66	574	na
gr0031	72	605	na
gr0031	82	599	na
gr0031	97	579	na
gr0031	103	528	na
gr0032	0	225	na
gr0032	5	235	na
gr0032	10	275	na
gr0032	17	360	na
gr0032	25	390	na
gr0032	39	371	na
gr0032	42	347	na
gr0032	49	420	na
gr0032	54	468	na
gr0032	59	522	na
gr0032	66	541	na
gr0032	72	501	na
gr0032	81	510	na
gr0032	97	503	na
gr0032	102	461	na
gr0033	1	9	5.82124
gr0033	56	69	3.6383
gr0033	112	166	10.187
gr0033	168	310	16.736
gr0033	195	311	16.735
gr0034	1	9	5.82124
gr0034	56	47	3.6383
gr0034	113	97	8.7315
gr0034	168	180	15.281
gr0034	196	191	15.281
gr0035	0	9	2.863
gr0035	28	17	2.1473
gr0035	56	24	2.1472
gr0035	84	67	5.0102
gr0035	112	155	11.452
gr0035	140	223	15.747
gr0035	168	326	17.178
gr0036	0	10	0.7158
gr0036	28	14	0.7158
gr0036	56	20	1.4315
gr0036	85	54	5.0103
gr0036	112	137	6.441
gr0036	140	176	19.325
gr0036	168	250	25.051
gr0037	0	9	3.58896
gr0037	28	13	4.8834
gr0037	56	20	2.863
gr0037	84	50	5.7259
gr0037	112	94	5.7259
gr0037	140	143	10.02
gr0037	168	215	15.031
gr0038	0	9	2.86299
gr0038	28	10	1.43144
gr0038	56	13	1.4315
gr0038	84	39	5.0103
gr0038	112	125	37.2189
gr0038	140	174	41.513
gr0038	168	243	41.513
gr0039	0	3	3.31885
gr0039	15	7	5.12828
gr0039	29	16	8.55287
gr0039	43	36	5.134
gr0039	57	59	6.8435
gr0039	70	102	10.2568
gr0039	84	151	23.932
gr0039	99	181	17.1
gr0039	113	229	20.514
gr0039	127	236	15.385
gr0039	141	207	13.675
gr0040	0	3	2.41885
gr0040	15	7	6.01494
gr0040	28	14	6.83195
gr0040	42	40	6.8377
gr0040	57	69	6.8377
gr0040	70	127	13.675
gr0040	85	198	18.804
gr0040	99	232	17.1
gr0040	113	270	20.513
gr0040	127	253	17.094
gr0040	141	274	27.357
gr0041	0	7	5.10601
gr0041	14	6	5.19483
gr0041	28	21	6.9264
gr0041	42	56	5.1832
gr0041	56	121	10.401
gr0041	70	194	13.853
gr0041	84	309	25.963
gr0041	98	292	13.853
gr0041	112	332	24.242
gr0041	126	313	19.036
gr0041	140	322	29.437
gr0042	0	7	1.16239
gr0042	14	4	7.98538
gr0042	28	11	10.798
gr0042	41	32	16.8866
gr0042	56	93	17.2668
gr0042	70	159	17.616
gr0042	84	265	14.041
gr0042	98	279	6.502
gr0042	112	340	15.464
gr0042	126	323	16.885
gr0042	140	308	25.108
gr0043	0	3	5.11353
gr0043	14	7	4.92795
gr0043	28	14	9.8558
gr0043	42	38	7.8671
gr0043	56	82	9.2205
gr0043	70	129	12.271
gr0043	84	233	13.362
gr0043	98	232	11.488
gr0043	112	287	11.083
gr0043	126	252	14.477
gr0043	140	256	10.873
gr0044	0	3	0.02037
gr0044	14	7	3.62478
gr0044	28	12	3.81777
gr0044	42	19	4.018
gr0044	56	41	5.9937
gr0044	70	62	9.6715
gr0044	84	115	20.3201
gr0044	98	125	18.826
gr0044	112	167	22.592
gr0044	126	168	24.479
gr0044	140	184	26.426
gr0045	14	6	4.54549
gr0045	45	23	7.5757
gr0045	76	94	9.0906
gr0045	111	159	7.576
gr0045	141	186	12.121
gr0045	156	248	15.151
gr0045	169	270	28.788
gr0045	196	271	12.121
gr0046	14	6	4.54549
gr0046	45	30	3.0303
gr0046	76	95	7.5755
gr0046	111	159	7.576
gr0046	141	197	6.06
gr0046	156	274	12.122
gr0046	169	318	18.182
gr0046	196	306	12.121
gr0047	14	6	4.54549
gr0047	45	21	9.0909
gr0047	45	21	77.2727
gr0047	110	148	9.091
gr0047	141	188	12.121
gr0047	155	247	16.666
gr0047	169	285	15.152
gr0047	196	283	15.152
gr0048	14	6	3.03031
gr0048	45	23	6.0606
gr0048	76	83	4.5454
gr0048	111	142	4.545
gr0048	141	168	10.606
gr0048	156	236	16.667
gr0048	169	274	24.242
gr0048	196	265	18.182
gr0049	14	6	4.54546
gr0049	45	21	6.0606
gr0049	76	83	9.0909
gr0049	110	147	7.576
gr0049	141	186	13.637
gr0049	156	248	13.637
gr0049	169	288	12.121
gr0049	196	271	13.636
gr0050	14	6	4.54546
gr0050	45	15	3.0303
gr0050	76	67	4.5455
gr0050	111	139	3.03
gr0050	141	176	4.546
gr0050	156	248	9.091
gr0050	169	288	12.121
gr0050	197	294	9.091
gr0051	0	36	24.0964
gr0051	11	72	36.1446
gr0051	21	95	24.0964
gr0051	32	179	24.096
gr0051	42	286	24.096
gr0051	52	394	24.096
gr0051	62	586	48.193
gr0051	83	971	48.237
gr0051	104	1572	72.29
gr0051	125	2125	96.38
gr0051	144	2268	144.58
gr0051	165	2315	132.53
gr0051	188	2337	84.33
gr0052	0	24	6.0964
gr0052	11	108	17.72
gr0052	22	252	36.1
gr0052	32	432	36.145
gr0052	43	732	108.345
gr0052	62	1647	72.29
gr0052	83	2019	84.34
gr0052	104	2234	156.63
gr0052	125	2341	96.39
gr0052	144	2497	108.43
gr0052	165	2712	144.58
gr0052	188	2747	192.82
gr0053	0	24	5.9036
gr0053	11	120	36.145
gr0053	21	276	36.144
gr0053	32	649	48.193
gr0053	41	829	96.34
gr0053	62	1984	84.38
gr0053	83	2344	84.29
gr0053	104	2620	192.77
gr0053	125	2606	228.87
gr0053	144	2617	180.72
gr0053	165	2785	120.48
gr0053	188	2771	72.34
gr0054	0	24	5.9036
gr0054	11	180	24.096
gr0054	21	420	60.241
gr0054	32	865	60.196
gr0054	41	865	84.293
gr0054	62	1972	180.72
gr0054	83	2260	168.63
gr0054	104	2427	120.48
gr0054	125	2715	216.87
gr0054	144	2714	168.63
gr0054	165	2761	120.49
gr0054	188	2747	96.43
gr0055	0	36	24.0964
gr0055	11	36	16.1446
gr0055	21	60	12.0482
gr0055	32	84	24.0963
gr0055	41	157	12.049
gr0055	51	217	24.096
gr0055	62	301	48.193
gr0055	83	506	36.144
gr0055	104	904	72.289
gr0055	125	1325	108.43
gr0055	144	1651	108.43
gr0055	165	1928	144.58
gr0055	188	2012	108.44
gr0056	0	12	3.0968
gr0056	11	49	12.0967
gr0056	22	74	12.0967
gr0056	32	159	24.193
gr0056	42	293	24.194
gr0056	62	572	96.729
gr0056	83	1021	108.83
gr0056	104	1531	133.06
gr0056	125	1798	145.16
gr0056	144	1836	157.22
gr0056	165	1910	96.73
gr0056	188	2032	157.26
gr0057	0	24	0.1951
gr0057	11	60	1.9272
gr0057	22	108	15.902
gr0057	32	205	29.999
gr0057	41	325	7.942
gr0057	62	711	38.055
gr0057	83	1157	32.12
gr0057	104	1542	50.09
gr0057	125	1759	139.66
gr0057	144	1795	118.09
gr0057	165	1892	97.27
gr0057	189	2012	113.46
gr0058	0	24	0.0987
gr0058	11	62	13.1706
gr0058	22	124	14.146
gr0058	32	308	3.148
gr0058	41	418	28.755
gr0058	62	882	80.733
gr0058	83	1225	83.48
gr0058	104	1544	134.82
gr0058	125	1789	198.29
gr0058	144	1913	200.01
gr0058	165	2025	140.84
gr0058	189	2162	118.55
gr0061	1	40	na
gr0061	15	40	na
gr0061	30	50	na
gr0061	45	79	na
gr0061	60	128	na
gr0061	75	166	na
gr0061	90	173	na
gr0061	104	175	na
gr0062	1	40	na
gr0062	15	52	na
gr0062	29	81	na
gr0062	45	121	na
gr0062	60	168	na
gr0062	74	181	na
gr0062	89	182	na
gr0062	104	181	na
