Manaf_2009_ijb_p81-91,Manaf,2009,ijb,p81-91,10.5539/ijb.v1n1p81,"Manaf, L. A., M. L. C. Jusoh, M. K. Yusoff, T. H. T. Ismail, R. Harun, and H. Juahir. 2009. Influences of Bedding Material in Vermicomposting Process. International JOurnal of Biology 1:81-91."
Mccredie_1992_bfs_p285-289,Mccredie,1992,bfs,p285-289,10.1007/bf00336045,"McCredie, T. A., C. A. Parker, and I. Abbott. 1992. Population dynamics of the earthworm Aporrectodea trapezoides (Annelida: Lumbricidae) in a Western Australian pasture soil. Biology and Fertility of Soils 12:285-289."
Michon_1954_PhD_p192,Michon,1954,PhD,p192,na,"Michon, J. 1954. Contribution expérimentale à l'étude de la Biologie des Lumbricidae. Les variations pondérales au cours des différentes modalités du développement postembryonnaire. Faculté des sciences de Poitiers, Poitiers."
Monroy_2007_crass_p389-391,Monroy,2007,crass,p389-391,10.1016/j.crvi.2007.03.016,"Monroy, F., M. Aira, J. A. Gago, and J. Dominguez. 2007. Life cycle of the earthworm Octodrilus complanatus (Oligochaeta, Lumbricidae). Comptes Rendus Biologies 330:389-391."
Mulder_2007_age_p229-231,Mulder,2007,age,p229-231,10.1007/s11357-007-9037-9,"Mulder, C., R. Baerselman, and L. Posthuma. 2007. Empirical maximum lifespan of earthworms is twice that of mice. AGE 29:229-231."
Munoz.Pedreros_1997_rchn_p101-108,Munoz.Pedreros,1997,rchn,p101-108,na,"Muñoz-Pedreros, A., E. Ruiz, C. Poblete, and M. Santelices. 1997. Aspectos de la biología reproductiva de lumbrícidos silvestres (O ligochaeta: Lumbricidae) en el sur de Chile. Revista Chilena de Historia Natural 70:101-108."
Muthukaruppan_2005_jss_p82-86,Muthukaruppan,2005,jss,p82-86,10.1065/jss2004.09.111,"Muthukaruppan, G., S. Janardhanan, and G. Vijayalakshmi. 2005. Sublethal Toxicity of the Herbicide Butachlor on the Earthworm Perionyx sansibaricus and its Histological Changes (5 pp). Journal of Soils and Sediments 5:82-86."
Muyima_1994_sbb_p973-976,Muyima,1994,sbb,p973-976,10.1016/0038-0717(94)90111-2,"Muyima, N. Y. O., A. J. Reinecke, and S. A. Viljoen-Reinecke. 1994. Moisture requirements of Dendrobaena veneta (oligochaeta), a candidate for vermicomposting. Soil Biology & Biochemistry 26:973-976."
Nair_1998_jae_p459-466,Nair,1998,jae,p459-466,10.1006/jare.1998.0441,"Nair, G. A. and S. A. Bennour. 1998. Cocoons and hatchlings of Aporrectodea caliginosa (Savigny 1826) (Oligochaeta: Lumbricidae) in Benghazi, Libya. Journal of Arid Environments 40:459-466."
Nakumura_1985_eda_p31-33,Nakumura,1985,eda,p31-33,na,"Nakamura, Y. 1985. Growth of three species of earthworms (Lumbricidae) in laboratory cultures. Edaphologia 34:31-33."
Nath_2014_te_p305-312,Nath,2014,te,p305-312,na,"Nath, S. and P. S. Chaudhuri. 2014. Growth and reproduction of Pontoscolex corethrurus (Muller) with different experimental diets. Tropical Ecology 55:305-312."
Neuhauser_1979_rebs_p252-534,Neuhauser,1979,rebs,p252-534,na,"Neuhauser, E. F., D. L. Kaplan, and R. Hartenstein. 1979. Life history of the earthworm Eudrilus eugeniae. Revue d'écologie et de biologie du sol 16:525-534."
Neuhauser_1980_aw_p43-60,Neuhauser,1980,aw,p43-60,na,"Neuhauser, E. F., D. L. Kaplan, M. R. Malecki, and R. Hartenstein. 1980. Materials supporting weight gain by the earthworm Eisenia foetida in waste conversion systems. Agricultural Wastes 2:43-60."
Neuhauser_1980_oik_p93-98,Neuhauser,1980,oik,p93-98,10.2307/3544730,"Neuhauser, E. F., R. Hartenstein, and D. L. Kaplan. 1980. Growth of the earthworm Eisenia foetida in relation to population density and food rationing Oikos 35:93-98."
Neuhauser_1984_sbb_p521-523,Neuhauser,1984,sbb,p521-523,10.1016/0038-0717(84)90062-2,"Neuhauser, E. F., J. A. Meyer, M. R. Malecki, and J. M. Thomas. 1984. Dietary cobalt supplements and the growth and reproduction of the earthworm Eisenia foetida. Soil Biology & Biochemistry 16:521-523."
Neuhauser_1988_in_ewem_p9-20,Neuhauser,1988,in_ewem,p9-20,na,"Neuhauser, E. F., R. Loehr, and M. R. Malecki. 1988. The potential of earthworms for managing sewage sludge. Pages 9-20 in C. A. Edwards, editor. Earthworms in waste and environmental management. SPB Academic Publishing, The Hague, The Netherlands."
Neuhauser_1990_sbb_p175-179,Neuhauser,1990,sbb,p175-179,10.1016/0038-0717(90)90083-c,"Neuhauser, E. F. and C. A. Callahan. 1990. Growth and reproduction of the earthworm Eisenia fetida exposed to sublethal concentrations of organic chemicals. Soil Biology & Biochemistry 22:175-179."
Ortiz-Ceballos_2005_pedo_p89-98,Ortiz-Ceballos,2005,pedo,p89-98,10.1016/j.pedobi.2004.08.006,"Ortiz-Ceballos, A. I., C. Fragoso, M. Equihua, and G. G. Brown. 2005. Influence of food quality, soil moisture and the earthworm Pontoscolex corethrurus on growth and reproduction of the tropical earthworm Balanteodrilus pearsei. Pedobiologia 49:89-98."
Padhan_2010_ijrras_p76-85,Padhan,2010,ijrras,p76-85,na,"Padhan, A. and S. K. Sahu. 2010. Effect of rice mill wastewater on growth, reproduction and metabolism of Drawida willsi (oligochaeta) under laboratory conditions. International Journal of Research and Revies in Applied Sciences 5:76-85."
Panda_1999_sbb_p363-366,Panda,1999,sbb,p363-366,10.1016/s0038-0717(98)00135-7,"Panda, S. and S. K. Sahu. 1999. Effects of malathion on the growth and reproduction of Drawida willsi (Oligochaeta) under laboratory conditions. Soil Biology & Biochemistry 31:363-366."
Parthasarathi_2007_jeb_p803-812,Parthasarathi,2007,jeb,p803-812,na,"Parthasarathi, K. 2007. Life cycle of Lampito mauritii (Kinberg) in comparison with Eudrilus eugeniae (Kinberg) cultured on different substrates. Journal of Environmental Biology 28:803-812."
Persson_2007_in_bdefo_p34,Persson,2007,in_bdefo,p34,na,"Perrson, T., L. Lenoir, and A. Taylor. 2007. Bioturbation in different ecosystems at Forsmark and Oskarshamn. Swedish Unversity of Agricultural Sciences."
Phillipson_1977_pedo_p70-82,Phillipson,1977,pedo,p70-82,na,"Phillipson, J. and P. J. Bolton. 1977. Growth and cocoon production by Allolobophora rosea (Oligochaeta: Lumbricidae). Pedobiologia 17:70-82."
Presley_1996_cbp_p319-326,Presley,1996,cbp,p319-326,10.1016/0300-9629(96)00017-5,"Presley, M. L., T. C. McElroy, and W. J. Diehl. 1996. Soil moisture and temperature interact to affect growth, survivorship, fecundity, and fitness in the earthworm Eisenia fetida. Comparative Biochemistry and Physiology Part A: Physiology 114:319-326."
Reeh_1992_sbb_p1327-1331,Reeh,1992,sbb,p1327-1331,10.1016/0038-0717(92)90113-c,"Reeh, U. 1992. Influence of population densities on growth and reproduction of the earthworm Eisenia andrei on pig manure. Soil Biology & Biochemistry 24:1327-1331."
Reinecke_1985_rebs_p473-481,Reinecke,1985,rebs,p473-481,na,"Reinecke, A. J. and J. M. Venter. 1985. The influence of moisture on the growth and reproduction of the compost worm Eisenia fetida (Oligochaeta). Revue d'écologie et de biologie du sol 22:473-481."
Reinecke_1987_bfs_p135-141,Reinecke,1987,bfs,p135-141,10.1007/bf00260595,"Reinecke, A. J. and J. M. Venter. 1987. Moisture preferences, growth and reproduction of the compost worm Eisenia fetida (Oligochaeta). Biology and Fertility of Soils 3:135-141."
Reinecke_1989_bfs_p303-306,Reinecke,1989,bfs,p303-306,10.1007/BF00263159,"Reinecke, A. J. and L. Hallatt. 1989. Growth and cocoon production of Perionyx excavatus (Oligochaeta). Biology and Fertility of Soils 8:303-306."
Reinecke_1990_bfs_p184-187,Reinecke,1990,bfs,p184-187,10.1007/BF00336133,"Reinecke, A. J. and S. A. Viljoen. 1990. The influence of feeding patterns on growth and reproduction of the vermicomposting earthworm Eisenia fetida (Oligochaeta). Biology and Fertility of Soils 10:184-187."
